countryIsoCode,country,indexCode,index,dimension,indicatorCode,indicator,year,value,note
AGO,Angola,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2010,0.556,
AGO,Angola,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2019,0.536,
AGO,Angola,GII,Gender Inequality Index,,lfpr_f,"Labour force participation rate, female (% ages 15 and older)",2010,75.66,
AGO,Angola,GII,Gender Inequality Index,,lfpr_f,"Labour force participation rate, female (% ages 15 and older)",2019,73.03,
AGO,Angola,GII,Gender Inequality Index,,lfpr_m,"Labour force participation rate, male (% ages 15 and older)",2010,79.03,
AGO,Angola,GII,Gender Inequality Index,,lfpr_m,"Labour force participation rate, male (% ages 15 and older)",2019,77.2,
AGO,Angola,GII,Gender Inequality Index,,mmr,"Maternal Mortality Ratio (deaths per 100,000 live births)",2010,367.2648485,
AGO,Angola,GII,Gender Inequality Index,,mmr,"Maternal Mortality Ratio (deaths per 100,000 live births)",2019,227.6869649,
AGO,Angola,GII,Gender Inequality Index,,pr_f,"Share of seats in parliament, female (% held by women)",2010,38.63636364,
AGO,Angola,GII,Gender Inequality Index,,pr_f,"Share of seats in parliament, female (% held by women)",2019,30,
AGO,Angola,GII,Gender Inequality Index,,pr_m,"Share of seats in parliament, male (% held by men)",2010,61.36363636,
AGO,Angola,GII,Gender Inequality Index,,pr_m,"Share of seats in parliament, male (% held by men)",2019,70,
AGO,Angola,GII,Gender Inequality Index,,se_f,"Population with at least some secondary education, female (% ages 25 and older)",2010,15.42775002,
AGO,Angola,GII,Gender Inequality Index,,se_f,"Population with at least some secondary education, female (% ages 25 and older)",2019,27.34417725,
AGO,Angola,GII,Gender Inequality Index,,se_m,"Population with at least some secondary education, male (% ages 25 and older)",2010,28.18698307,
AGO,Angola,GII,Gender Inequality Index,,se_m,"Population with at least some secondary education, male (% ages 25 and older)",2019,50.8954277,
ALB,Albania,GII,Gender Inequality Index,,abr,"Adolescent Birth Rate (births per 1,000 women ages 15-19)",2010,19.725,
ALB,Albania,GII,Gender Inequality Index,,abr,"Adolescent Birth Rate (births per 1,000 women ages 15-19)",2019,14.949,
ALB,Albania,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2010,0.192,
ALB,Albania,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2019,0.131,
ALB,Albania,GII,Gender Inequality Index,,lfpr_f,"Labour force participation rate, female (% ages 15 and older)",2010,46.86,
ALB,Albania,GII,Gender Inequality Index,,lfpr_f,"Labour force participation rate, female (% ages 15 and older)",2019,52.87,
ALB,Albania,GII,Gender Inequality Index,,lfpr_m,"Labour force participation rate, male (% ages 15 and older)",2010,63.97,
ALB,Albania,GII,Gender Inequality Index,,lfpr_m,"Labour force participation rate, male (% ages 15 and older)",2019,67.93,
ALB,Albania,GII,Gender Inequality Index,,mmr,"Maternal Mortality Ratio (deaths per 100,000 live births)",2010,8.516676263,
ALB,Albania,GII,Gender Inequality Index,,mmr,"Maternal Mortality Ratio (deaths per 100,000 live births)",2019,5.30502305,
ALB,Albania,GII,Gender Inequality Index,,pr_f,"Share of seats in parliament, female (% held by women)",2010,16.42857143,
ALB,Albania,GII,Gender Inequality Index,,pr_f,"Share of seats in parliament, female (% held by women)",2019,29.50819672,
ALB,Albania,GII,Gender Inequality Index,,pr_m,"Share of seats in parliament, male (% held by men)",2010,83.57142857,
ALB,Albania,GII,Gender Inequality Index,,pr_m,"Share of seats in parliament, male (% held by men)",2019,70.49180328,
ALB,Albania,GII,Gender Inequality Index,,se_f,"Population with at least some secondary education, female (% ages 25 and older)",2010,80.50421852,
ALB,Albania,GII,Gender Inequality Index,,se_f,"Population with at least some secondary education, female (% ages 25 and older)",2019,88.80296326,
ALB,Albania,GII,Gender Inequality Index,,se_m,"Population with at least some secondary education, male (% ages 25 and older)",2010,86.9130703,
ALB,Albania,GII,Gender Inequality Index,,se_m,"Population with at least some secondary education, male (% ages 25 and older)",2019,92.67705536,
AND,Andorra,GII,Gender Inequality Index,,abr,"Adolescent Birth Rate (births per 1,000 women ages 15-19)",2010,8.037,
AND,Andorra,GII,Gender Inequality Index,,abr,"Adolescent Birth Rate (births per 1,000 women ages 15-19)",2019,3.526,
AND,Andorra,GII,Gender Inequality Index,,pr_f,"Share of seats in parliament, female (% held by women)",2010,35.71428571,
AND,Andorra,GII,Gender Inequality Index,,pr_f,"Share of seats in parliament, female (% held by women)",2019,46.42857143,
AND,Andorra,GII,Gender Inequality Index,,pr_m,"Share of seats in parliament, male (% held by men)",2010,64.28571429,
AND,Andorra,GII,Gender Inequality Index,,pr_m,"Share of seats in parliament, male (% held by men)",2019,53.57142857,
AND,Andorra,GII,Gender Inequality Index,,se_f,"Population with at least some secondary education, female (% ages 25 and older)",2010,68.54725215,
AND,Andorra,GII,Gender Inequality Index,,se_f,"Population with at least some secondary education, female (% ages 25 and older)",2019,76.60000229,
AND,Andorra,GII,Gender Inequality Index,,se_m,"Population with at least some secondary education, male (% ages 25 and older)",2010,69.70662879,
AND,Andorra,GII,Gender Inequality Index,,se_m,"Population with at least some secondary education, male (% ages 25 and older)",2019,78.88000107,
ARE,United Arab Emirates,GII,Gender Inequality Index,,abr,"Adolescent Birth Rate (births per 1,000 women ages 15-19)",2010,11.4,
ARE,United Arab Emirates,GII,Gender Inequality Index,,abr,"Adolescent Birth Rate (births per 1,000 women ages 15-19)",2019,3.292,
ARE,United Arab Emirates,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2010,0.165,
ARE,United Arab Emirates,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2019,0.039,
ARE,United Arab Emirates,GII,Gender Inequality Index,,lfpr_f,"Labour force participation rate, female (% ages 15 and older)",2010,43.38,
ARE,United Arab Emirates,GII,Gender Inequality Index,,lfpr_f,"Labour force participation rate, female (% ages 15 and older)",2019,57.62,
ARE,United Arab Emirates,GII,Gender Inequality Index,,lfpr_m,"Labour force participation rate, male (% ages 15 and older)",2010,89.54,
ARE,United Arab Emirates,GII,Gender Inequality Index,,lfpr_m,"Labour force participation rate, male (% ages 15 and older)",2019,92.06,
ARE,United Arab Emirates,GII,Gender Inequality Index,,mmr,"Maternal Mortality Ratio (deaths per 100,000 live births)",2010,9.160352066,
ARE,United Arab Emirates,GII,Gender Inequality Index,,mmr,"Maternal Mortality Ratio (deaths per 100,000 live births)",2019,9.432062806,
ARE,United Arab Emirates,GII,Gender Inequality Index,,pr_f,"Share of seats in parliament, female (% held by women)",2010,22.5,
ARE,United Arab Emirates,GII,Gender Inequality Index,,pr_f,"Share of seats in parliament, female (% held by women)",2019,50,
ARE,United Arab Emirates,GII,Gender Inequality Index,,pr_m,"Share of seats in parliament, male (% held by men)",2010,77.5,
ARE,United Arab Emirates,GII,Gender Inequality Index,,pr_m,"Share of seats in parliament, male (% held by men)",2019,50,
ARE,United Arab Emirates,GII,Gender Inequality Index,,se_f,"Population with at least some secondary education, female (% ages 25 and older)",2010,73.04333305,
ARE,United Arab Emirates,GII,Gender Inequality Index,,se_f,"Population with at least some secondary education, female (% ages 25 and older)",2019,82,
ARE,United Arab Emirates,GII,Gender Inequality Index,,se_m,"Population with at least some secondary education, male (% ages 25 and older)",2010,68.83249919,
ARE,United Arab Emirates,GII,Gender Inequality Index,,se_m,"Population with at least some secondary education, male (% ages 25 and older)",2019,85.59999847,
ARG,Argentina,GII,Gender Inequality Index,,abr,"Adolescent Birth Rate (births per 1,000 women ages 15-19)",2010,65.927,
ARG,Argentina,GII,Gender Inequality Index,,abr,"Adolescent Birth Rate (births per 1,000 women ages 15-19)",2019,41.751,
ARG,Argentina,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2010,0.37,
ARG,Argentina,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2019,0.283,
ARG,Argentina,GII,Gender Inequality Index,,lfpr_f,"Labour force participation rate, female (% ages 15 and older)",2010,48.05,
ARG,Argentina,GII,Gender Inequality Index,,lfpr_f,"Labour force participation rate, female (% ages 15 and older)",2019,50.3,
ARG,Argentina,GII,Gender Inequality Index,,lfpr_m,"Labour force participation rate, male (% ages 15 and older)",2010,73.87,
ARG,Argentina,GII,Gender Inequality Index,,lfpr_m,"Labour force participation rate, male (% ages 15 and older)",2019,71.41,
ARG,Argentina,GII,Gender Inequality Index,,mmr,"Maternal Mortality Ratio (deaths per 100,000 live births)",2010,55.10321713,
ARG,Argentina,GII,Gender Inequality Index,,mmr,"Maternal Mortality Ratio (deaths per 100,000 live births)",2019,32.60260512,
ARG,Argentina,GII,Gender Inequality Index,,pr_f,"Share of seats in parliament, female (% held by women)",2010,37.80487805,
ARG,Argentina,GII,Gender Inequality Index,,pr_f,"Share of seats in parliament, female (% held by women)",2019,39.87730061,
ARG,Argentina,GII,Gender Inequality Index,,pr_m,"Share of seats in parliament, male (% held by men)",2010,62.19512195,
ARG,Argentina,GII,Gender Inequality Index,,pr_m,"Share of seats in parliament, male (% held by men)",2019,60.12269939,
ARG,Argentina,GII,Gender Inequality Index,,se_f,"Population with at least some secondary education, female (% ages 25 and older)",2010,60.6891633,
ARG,Argentina,GII,Gender Inequality Index,,se_f,"Population with at least some secondary education, female (% ages 25 and older)",2019,72.93904412,
ARG,Argentina,GII,Gender Inequality Index,,se_m,"Population with at least some secondary education, male (% ages 25 and older)",2010,63.79305531,
ARG,Argentina,GII,Gender Inequality Index,,se_m,"Population with at least some secondary education, male (% ages 25 and older)",2019,71.11248068,
ARM,Armenia,GII,Gender Inequality Index,,abr,"Adolescent Birth Rate (births per 1,000 women ages 15-19)",2010,31.803,
ARM,Armenia,GII,Gender Inequality Index,,abr,"Adolescent Birth Rate (births per 1,000 women ages 15-19)",2019,16.328,
ARM,Armenia,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2010,0.352,
ARM,Armenia,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2019,0.216,
ARM,Armenia,GII,Gender Inequality Index,,lfpr_f,"Labour force participation rate, female (% ages 15 and older)",2010,52.2,
ARM,Armenia,GII,Gender Inequality Index,,lfpr_f,"Labour force participation rate, female (% ages 15 and older)",2019,55.9,
ARM,Armenia,GII,Gender Inequality Index,,lfpr_m,"Labour force participation rate, male (% ages 15 and older)",2010,72.3,
ARM,Armenia,GII,Gender Inequality Index,,lfpr_m,"Labour force participation rate, male (% ages 15 and older)",2019,73.68,
ARM,Armenia,GII,Gender Inequality Index,,mmr,"Maternal Mortality Ratio (deaths per 100,000 live births)",2010,33.21770168,
ARM,Armenia,GII,Gender Inequality Index,,mmr,"Maternal Mortality Ratio (deaths per 100,000 live births)",2019,24.93800427,
ARM,Armenia,GII,Gender Inequality Index,,pr_f,"Share of seats in parliament, female (% held by women)",2010,9.160305344,
ARM,Armenia,GII,Gender Inequality Index,,pr_f,"Share of seats in parliament, female (% held by women)",2019,23.48484848,
ARM,Armenia,GII,Gender Inequality Index,,pr_m,"Share of seats in parliament, male (% held by men)",2010,90.83969466,
ARM,Armenia,GII,Gender Inequality Index,,pr_m,"Share of seats in parliament, male (% held by men)",2019,76.51515152,
ARM,Armenia,GII,Gender Inequality Index,,se_f,"Population with at least some secondary education, female (% ages 25 and older)",2010,97.98983002,
ARM,Armenia,GII,Gender Inequality Index,,se_f,"Population with at least some secondary education, female (% ages 25 and older)",2019,99.62906647,
ARM,Armenia,GII,Gender Inequality Index,,se_m,"Population with at least some secondary education, male (% ages 25 and older)",2010,98.58226013,
ARM,Armenia,GII,Gender Inequality Index,,se_m,"Population with at least some secondary education, male (% ages 25 and older)",2019,99.63296509,
ATG,Antigua and Barbuda,GII,Gender Inequality Index,,abr,"Adolescent Birth Rate (births per 1,000 women ages 15-19)",2010,42.685,
ATG,Antigua and Barbuda,GII,Gender Inequality Index,,abr,"Adolescent Birth Rate (births per 1,000 women ages 15-19)",2019,31.691,
ATG,Antigua and Barbuda,GII,Gender Inequality Index,,lfpr_f,"Labour force participation rate, female (% ages 15 and older)",2019,69.58,
ATG,Antigua and Barbuda,GII,Gender Inequality Index,,lfpr_m,"Labour force participation rate, male (% ages 15 and older)",2019,76.53,
ATG,Antigua and Barbuda,GII,Gender Inequality Index,,mmr,"Maternal Mortality Ratio (deaths per 100,000 live births)",2010,30.78418848,
ATG,Antigua and Barbuda,GII,Gender Inequality Index,,mmr,"Maternal Mortality Ratio (deaths per 100,000 live births)",2019,18.91320322,
ATG,Antigua and Barbuda,GII,Gender Inequality Index,,pr_f,"Share of seats in parliament, female (% held by women)",2010,19.44444444,
ATG,Antigua and Barbuda,GII,Gender Inequality Index,,pr_f,"Share of seats in parliament, female (% held by women)",2019,31.42857143,
ATG,Antigua and Barbuda,GII,Gender Inequality Index,,pr_m,"Share of seats in parliament, male (% held by men)",2010,80.55555556,
ATG,Antigua and Barbuda,GII,Gender Inequality Index,,pr_m,"Share of seats in parliament, male (% held by men)",2019,68.57142857,
AUS,Australia,GII,Gender Inequality Index,,abr,"Adolescent Birth Rate (births per 1,000 women ages 15-19)",2010,17.069,
AUS,Australia,GII,Gender Inequality Index,,abr,"Adolescent Birth Rate (births per 1,000 women ages 15-19)",2019,8.763,
AUS,Australia,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2010,0.137,
AUS,Australia,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2019,0.079,
AUS,Australia,GII,Gender Inequality Index,,lfpr_f,"Labour force participation rate, female (% ages 15 and older)",2010,58.64,
AUS,Australia,GII,Gender Inequality Index,,lfpr_f,"Labour force participation rate, female (% ages 15 and older)",2019,60.97,
AUS,Australia,GII,Gender Inequality Index,,lfpr_m,"Labour force participation rate, male (% ages 15 and older)",2010,72.37,
AUS,Australia,GII,Gender Inequality Index,,lfpr_m,"Labour force participation rate, male (% ages 15 and older)",2019,71.12,
AUS,Australia,GII,Gender Inequality Index,,mmr,"Maternal Mortality Ratio (deaths per 100,000 live births)",2010,5.45191211,
AUS,Australia,GII,Gender Inequality Index,,mmr,"Maternal Mortality Ratio (deaths per 100,000 live births)",2019,5.085506667,
AUS,Australia,GII,Gender Inequality Index,,pr_f,"Share of seats in parliament, female (% held by women)",2010,28.31858407,
AUS,Australia,GII,Gender Inequality Index,,pr_f,"Share of seats in parliament, female (% held by women)",2019,36.56387665,
AUS,Australia,GII,Gender Inequality Index,,pr_m,"Share of seats in parliament, male (% held by men)",2010,71.68141593,
AUS,Australia,GII,Gender Inequality Index,,pr_m,"Share of seats in parliament, male (% held by men)",2019,63.43612335,
AUS,Australia,GII,Gender Inequality Index,,se_f,"Population with at least some secondary education, female (% ages 25 and older)",2010,93.34999847,
AUS,Australia,GII,Gender Inequality Index,,se_f,"Population with at least some secondary education, female (% ages 25 and older)",2019,93.87000275,
AUS,Australia,GII,Gender Inequality Index,,se_m,"Population with at least some secondary education, male (% ages 25 and older)",2010,93.05000305,
AUS,Australia,GII,Gender Inequality Index,,se_m,"Population with at least some secondary education, male (% ages 25 and older)",2019,94.01999664,
AUT,Austria,GII,Gender Inequality Index,,abr,"Adolescent Birth Rate (births per 1,000 women ages 15-19)",2010,10.338,
AUT,Austria,GII,Gender Inequality Index,,abr,"Adolescent Birth Rate (births per 1,000 women ages 15-19)",2019,5.29,
AUT,Austria,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2010,0.105,
AUT,Austria,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2019,0.052,
AUT,Austria,GII,Gender Inequality Index,,lfpr_f,"Labour force participation rate, female (% ages 15 and older)",2010,54.27,
AUT,Austria,GII,Gender Inequality Index,,lfpr_f,"Labour force participation rate, female (% ages 15 and older)",2019,56.15,
AUT,Austria,GII,Gender Inequality Index,,lfpr_m,"Labour force participation rate, male (% ages 15 and older)",2010,66.71,
AUT,Austria,GII,Gender Inequality Index,,lfpr_m,"Labour force participation rate, male (% ages 15 and older)",2019,66.72,
AUT,Austria,GII,Gender Inequality Index,,mmr,"Maternal Mortality Ratio (deaths per 100,000 live births)",2010,5.953755513,
AUT,Austria,GII,Gender Inequality Index,,mmr,"Maternal Mortality Ratio (deaths per 100,000 live births)",2019,5.495700908,
AUT,Austria,GII,Gender Inequality Index,,pr_f,"Share of seats in parliament, female (% held by women)",2010,28.27868852,
AUT,Austria,GII,Gender Inequality Index,,pr_f,"Share of seats in parliament, female (% held by women)",2019,38.52459016,
AUT,Austria,GII,Gender Inequality Index,,pr_m,"Share of seats in parliament, male (% held by men)",2010,71.72131148,
AUT,Austria,GII,Gender Inequality Index,,pr_m,"Share of seats in parliament, male (% held by men)",2019,61.47540984,
AUT,Austria,GII,Gender Inequality Index,,se_f,"Population with at least some secondary education, female (% ages 25 and older)",2010,98.94047546,
AUT,Austria,GII,Gender Inequality Index,,se_f,"Population with at least some secondary education, female (% ages 25 and older)",2019,98.60974884,
AUT,Austria,GII,Gender Inequality Index,,se_m,"Population with at least some secondary education, male (% ages 25 and older)",2010,98.6485672,
AUT,Austria,GII,Gender Inequality Index,,se_m,"Population with at least some secondary education, male (% ages 25 and older)",2019,99.05708313,
AZE,Azerbaijan,GII,Gender Inequality Index,,abr,"Adolescent Birth Rate (births per 1,000 women ages 15-19)",2010,48.235,
AZE,Azerbaijan,GII,Gender Inequality Index,,abr,"Adolescent Birth Rate (births per 1,000 women ages 15-19)",2019,47.851,
AZE,Azerbaijan,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2010,0.333,
AZE,Azerbaijan,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2019,0.314,
AZE,Azerbaijan,GII,Gender Inequality Index,,lfpr_f,"Labour force participation rate, female (% ages 15 and older)",2010,61.96,
AZE,Azerbaijan,GII,Gender Inequality Index,,lfpr_f,"Labour force participation rate, female (% ages 15 and older)",2019,63.3,
AZE,Azerbaijan,GII,Gender Inequality Index,,lfpr_m,"Labour force participation rate, male (% ages 15 and older)",2010,67.83,
AZE,Azerbaijan,GII,Gender Inequality Index,,lfpr_m,"Labour force participation rate, male (% ages 15 and older)",2019,69.7,
AZE,Azerbaijan,GII,Gender Inequality Index,,mmr,"Maternal Mortality Ratio (deaths per 100,000 live births)",2010,32.81003821,
AZE,Azerbaijan,GII,Gender Inequality Index,,mmr,"Maternal Mortality Ratio (deaths per 100,000 live births)",2019,26.86957153,
AZE,Azerbaijan,GII,Gender Inequality Index,,pr_f,"Share of seats in parliament, female (% held by women)",2010,16,
AZE,Azerbaijan,GII,Gender Inequality Index,,pr_f,"Share of seats in parliament, female (% held by women)",2019,16.80672269,
AZE,Azerbaijan,GII,Gender Inequality Index,,pr_m,"Share of seats in parliament, male (% held by men)",2010,84,
AZE,Azerbaijan,GII,Gender Inequality Index,,pr_m,"Share of seats in parliament, male (% held by men)",2019,83.19327731,
AZE,Azerbaijan,GII,Gender Inequality Index,,se_f,"Population with at least some secondary education, female (% ages 25 and older)",2010,93.83999634,
AZE,Azerbaijan,GII,Gender Inequality Index,,se_f,"Population with at least some secondary education, female (% ages 25 and older)",2019,93.62000275,
AZE,Azerbaijan,GII,Gender Inequality Index,,se_m,"Population with at least some secondary education, male (% ages 25 and older)",2010,97.44999695,
AZE,Azerbaijan,GII,Gender Inequality Index,,se_m,"Population with at least some secondary education, male (% ages 25 and older)",2019,97.55999756,
BDI,Burundi,GII,Gender Inequality Index,,abr,"Adolescent Birth Rate (births per 1,000 women ages 15-19)",2010,77.842,
BDI,Burundi,GII,Gender Inequality Index,,abr,"Adolescent Birth Rate (births per 1,000 women ages 15-19)",2019,56.534,
BDI,Burundi,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2010,0.536,
BDI,Burundi,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2019,0.501,
BDI,Burundi,GII,Gender Inequality Index,,lfpr_f,"Labour force participation rate, female (% ages 15 and older)",2010,73.38,
BDI,Burundi,GII,Gender Inequality Index,,lfpr_f,"Labour force participation rate, female (% ages 15 and older)",2019,78.52,
BDI,Burundi,GII,Gender Inequality Index,,lfpr_m,"Labour force participation rate, male (% ages 15 and older)",2010,72.51,
BDI,Burundi,GII,Gender Inequality Index,,lfpr_m,"Labour force participation rate, male (% ages 15 and older)",2019,78.77,
BDI,Burundi,GII,Gender Inequality Index,,mmr,"Maternal Mortality Ratio (deaths per 100,000 live births)",2010,608.008014,
BDI,Burundi,GII,Gender Inequality Index,,mmr,"Maternal Mortality Ratio (deaths per 100,000 live births)",2019,479.2901456,
BDI,Burundi,GII,Gender Inequality Index,,pr_f,"Share of seats in parliament, female (% held by women)",2010,36.05442177,
BDI,Burundi,GII,Gender Inequality Index,,pr_f,"Share of seats in parliament, female (% held by women)",2019,38.75,
BDI,Burundi,GII,Gender Inequality Index,,pr_m,"Share of seats in parliament, male (% held by men)",2010,63.94557823,
BDI,Burundi,GII,Gender Inequality Index,,pr_m,"Share of seats in parliament, male (% held by men)",2019,61.25,
BDI,Burundi,GII,Gender Inequality Index,,se_f,"Population with at least some secondary education, female (% ages 25 and older)",2010,7.413333257,
BDI,Burundi,GII,Gender Inequality Index,,se_f,"Population with at least some secondary education, female (% ages 25 and older)",2019,7.790671164,
BDI,Burundi,GII,Gender Inequality Index,,se_m,"Population with at least some secondary education, male (% ages 25 and older)",2010,10.9266669,
BDI,Burundi,GII,Gender Inequality Index,,se_m,"Population with at least some secondary education, male (% ages 25 and older)",2019,13.05151188,
BEL,Belgium,GII,Gender Inequality Index,,abr,"Adolescent Birth Rate (births per 1,000 women ages 15-19)",2010,9.861,
BEL,Belgium,GII,Gender Inequality Index,,abr,"Adolescent Birth Rate (births per 1,000 women ages 15-19)",2019,5.204,
BEL,Belgium,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2010,0.09,
BEL,Belgium,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2019,0.047,
BEL,Belgium,GII,Gender Inequality Index,,lfpr_f,"Labour force participation rate, female (% ages 15 and older)",2010,47.71,
BEL,Belgium,GII,Gender Inequality Index,,lfpr_f,"Labour force participation rate, female (% ages 15 and older)",2019,49.83,
BEL,Belgium,GII,Gender Inequality Index,,lfpr_m,"Labour force participation rate, male (% ages 15 and older)",2010,60.8,
BEL,Belgium,GII,Gender Inequality Index,,lfpr_m,"Labour force participation rate, male (% ages 15 and older)",2019,59.13,
BEL,Belgium,GII,Gender Inequality Index,,mmr,"Maternal Mortality Ratio (deaths per 100,000 live births)",2010,5.925479668,
BEL,Belgium,GII,Gender Inequality Index,,mmr,"Maternal Mortality Ratio (deaths per 100,000 live births)",2019,4.603335636,
BEL,Belgium,GII,Gender Inequality Index,,pr_f,"Share of seats in parliament, female (% held by women)",2010,38.91402715,
BEL,Belgium,GII,Gender Inequality Index,,pr_f,"Share of seats in parliament, female (% held by women)",2019,43.33333333,
BEL,Belgium,GII,Gender Inequality Index,,pr_m,"Share of seats in parliament, male (% held by men)",2010,61.08597285,
BEL,Belgium,GII,Gender Inequality Index,,pr_m,"Share of seats in parliament, male (% held by men)",2019,56.66666667,
BEL,Belgium,GII,Gender Inequality Index,,se_f,"Population with at least some secondary education, female (% ages 25 and older)",2010,77.08999634,
BEL,Belgium,GII,Gender Inequality Index,,se_f,"Population with at least some secondary education, female (% ages 25 and older)",2019,87.20999908,
BEL,Belgium,GII,Gender Inequality Index,,se_m,"Population with at least some secondary education, male (% ages 25 and older)",2010,82.37999725,
BEL,Belgium,GII,Gender Inequality Index,,se_m,"Population with at least some secondary education, male (% ages 25 and older)",2019,89.70999908,
BEN,Benin,GII,Gender Inequality Index,,abr,"Adolescent Birth Rate (births per 1,000 women ages 15-19)",2010,98.186,
BEN,Benin,GII,Gender Inequality Index,,abr,"Adolescent Birth Rate (births per 1,000 women ages 15-19)",2019,83.84,
BEN,Benin,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2010,0.637,
BEN,Benin,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2019,0.636,
BEN,Benin,GII,Gender Inequality Index,,lfpr_f,"Labour force participation rate, female (% ages 15 and older)",2010,74.64,
BEN,Benin,GII,Gender Inequality Index,,lfpr_f,"Labour force participation rate, female (% ages 15 and older)",2019,74.36,
BEN,Benin,GII,Gender Inequality Index,,lfpr_m,"Labour force participation rate, male (% ages 15 and older)",2010,76.08,
BEN,Benin,GII,Gender Inequality Index,,lfpr_m,"Labour force participation rate, male (% ages 15 and older)",2019,75.91,
BEN,Benin,GII,Gender Inequality Index,,mmr,"Maternal Mortality Ratio (deaths per 100,000 live births)",2010,598.1657783,
BEN,Benin,GII,Gender Inequality Index,,mmr,"Maternal Mortality Ratio (deaths per 100,000 live births)",2019,521.8667261,
BEN,Benin,GII,Gender Inequality Index,,pr_f,"Share of seats in parliament, female (% held by women)",2010,10.84337349,
BEN,Benin,GII,Gender Inequality Index,,pr_f,"Share of seats in parliament, female (% held by women)",2019,7.228915663,
BEN,Benin,GII,Gender Inequality Index,,pr_m,"Share of seats in parliament, male (% held by men)",2010,89.15662651,
BEN,Benin,GII,Gender Inequality Index,,pr_m,"Share of seats in parliament, male (% held by men)",2019,92.77108434,
BEN,Benin,GII,Gender Inequality Index,,se_f,"Population with at least some secondary education, female (% ages 25 and older)",2010,6.731802877,
BEN,Benin,GII,Gender Inequality Index,,se_f,"Population with at least some secondary education, female (% ages 25 and older)",2019,8.463609695,
BEN,Benin,GII,Gender Inequality Index,,se_m,"Population with at least some secondary education, male (% ages 25 and older)",2010,18.72629814,
